id;conversation_id;created_at;date;timezone;place;tweet;hashtags;cashtags;user_id;user_id_str;username;name;day;hour;link;retweet;nlikes;nreplies;nretweets;quote_url;search;near;geo;source;user_rt_id;user_rt;retweet_id;reply_to;retweet_date;translate;trans_src;trans_dest
1251786738323816449;1251786738323816449;1587284190000;2020-04-19 15:16:30;SE Asia Standard Time;;"All code for our database and visualization tools ( http://ourworldindata.org/owid-grapher ) is open source.

If you have the skills you can take what you need – or you can get involved and help us build much better tools: http://github.com/owid ";[];[];610659001;610659001;MaxCRoser;Max Roser;7;15;https://twitter.com/MaxCRoser/status/1251786738323816449;False;94;5;30;;None;;;;;;;[{'user_id': '610659001', 'username': 'MaxCRoser'}];;;;
1251736731310632960;1251736731310632960;1587272267000;2020-04-19 11:57:47;SE Asia Standard Time;;I wrote a Colab notebook that introduces differential calculus: derivatives, partial derivatives and gradients:  https://colab.research.google.com/github/ageron/handson-ml2/blob/master/math_differential_calculus.ipynb … pic.twitter.com/0BPq7ndpic;[];[];55178805;55178805;aureliengeron;Aurélien Geron;7;11;https://twitter.com/aureliengeron/status/1251736731310632960;False;880;7;180;;None;;;;;;;[{'user_id': '55178805', 'username': 'aureliengeron'}];;;;
1251621699868491777;1251621699868491777;1587244841000;2020-04-19 04:20:41;SE Asia Standard Time;;so anyway now I have a youtube playlist introducing functional programming in #rstats for novice users... https://www.youtube.com/watch?v=zuYMTrxsduI&list=PLRPB0ZzEYegPHHji3tBw2U4yp-DxMrUkB …;['#rstats'];[];108899342;108899342;djnavarro;Danielle Navarro;7;04;https://twitter.com/djnavarro/status/1251621699868491777;False;76;2;11;;None;;;;;;;[{'user_id': '108899342', 'username': 'djnavarro'}];;;;
1251488965053550602;1251488965053550602;1587213195000;2020-04-18 19:33:15;SE Asia Standard Time;;Intro to Bayesian approach to #CausalInference, with implementation in @mcmc_stan . code in @StableMarkets' github repository.  @PennCausal #statstwitter #epitwitter #RStats  https://arxiv.org/pdf/2004.07375.pdf … pic.twitter.com/kPDWcfWKA7;['#causalinference', '#statstwitter', '#epitwitter', '#rstats'];[];2785803970;2785803970;jasonroy;Jason Roy;6;19;https://twitter.com/jasonroy/status/1251488965053550602;False;99;0;28;;None;;;;;;;[{'user_id': '2785803970', 'username': 'jasonroy'}, {'user_id': '1175299088', 'username': 'mcmc_stan'}, {'user_id': '263303740', 'username': 'StableMarkets'}, {'user_id': '788521185847943168', 'username': 'PennCausal'}];;;;
1251258492406489088;1251258492406489088;1587158246000;2020-04-18 04:17:26;SE Asia Standard Time;;"First lockdown live stream lesson!

You guys broke the quiz server, but the lesson was still fun :) https://youtu.be/MHXO86wKeDY ";[];[];2877269376;2877269376;3blue1brown;Grant Sanderson;6;04;https://twitter.com/3blue1brown/status/1251258492406489088;False;670;31;58;;None;;;;;;;[{'user_id': '2877269376', 'username': '3blue1brown'}];;;;
1250962797325770752;1250962797325770752;1587087747000;2020-04-17 08:42:27;SE Asia Standard Time;;"Been looking to learn about CBOW, Glove, Word2Vec, Elmo, GPT, BERT, RoBERTa, ELECTRA, T5, GPT2, and, more generally, learning language models?

Here is a wonderful lecture by @OpenAI 's @AlecRad covering all of these, and more: https://youtu.be/BnpB3GrpsfM ";[];[];180993910;180993910;pabbeel;Pieter Abbeel;5;08;https://twitter.com/pabbeel/status/1250962797325770752;False;771;2;180;;None;;;;;;;[{'user_id': '180993910', 'username': 'pabbeel'}, {'user_id': '4398626122', 'username': 'OpenAI'}, {'user_id': '898805695', 'username': 'AlecRad'}];;;;
1250778193042313225;1250766555870265346;1587043734000;2020-04-16 20:28:54;SE Asia Standard Time;;As ever, @JennyBryan with the info on whatever the hell code smell is  https://github.com/jennybc/code-smells-and-feels …. Thanks David.;[];[];197662233;197662233;statsepi;Darren L Dahly, PhD;4;20;https://twitter.com/statsepi/status/1250778193042313225;False;41;1;2;;None;;;;;;;[{'user_id': '197662233', 'username': 'statsepi'}, {'user_id': '3308167500', 'username': 'davidcnorrismd'}, {'user_id': '16665197', 'username': 'martinfowler'}, {'user_id': '2167059661', 'username': 'JennyBryan'}];;;;
1250457081964048385;1249788856892657664;1586967175000;2020-04-15 23:12:55;SE Asia Standard Time;;I couldn't shake this idea so I did it:  https://tomvladeck.com/2020/04/15/rt-ssm.html …;[];[];19737743;19737743;tvladeck;thomas vladeck;3;23;https://twitter.com/tvladeck/status/1250457081964048385;False;2;1;0;;None;;;;;;;[{'user_id': '19737743', 'username': 'tvladeck'}, {'user_id': '20963651', 'username': 'seanjtaylor'}];;;;
1250241740382048260;1250241740382048260;1586915833000;2020-04-15 08:57:13;SE Asia Standard Time;;Some modeling of the effects of interventions on the dynamics of COVID-19 in Germany, using PyMC3 https://github.com/Priesemann-Group/covid19_inference_forecast …;[];[];14313383;14313383;fonnesbeck;Chris Fonnesbeck;3;08;https://twitter.com/fonnesbeck/status/1250241740382048260;False;12;0;0;;None;;;;;;;[{'user_id': '14313383', 'username': 'fonnesbeck'}];;;;
1250220120192016384;1250220120192016384;1586910679000;2020-04-15 07:31:19;SE Asia Standard Time;;"Just finished a guest lecture on Bayesian inference for @stevenvmiller's graduate methods course (thanks for having me!)

Slides are gettable my website:  https://mikedecr.github.io/teaching/bayes/miller_2020/lecture_bayes-intro.html … pic.twitter.com/OQjF4UZH1z";[];[];473307285;473307285;mikedecr;Michael DeCrescenzo;3;07;https://twitter.com/mikedecr/status/1250220120192016384;False;166;3;21;;None;;;;;;;[{'user_id': '473307285', 'username': 'mikedecr'}, {'user_id': '1323786510', 'username': 'stevenvmiller'}];;;;
1249891313975083009;1249891313975083009;1586832285000;2020-04-14 09:44:45;SE Asia Standard Time;;I wish I were a fraction as good at explaining complex ideas as Tai-Danae. She has an amazing gift, I'm looking forward to checking out her thesis. This blog post from last year transformed how I think about matrices:  https://www.math3ma.com/blog/matrices-probability-graphs … (don't miss the sequel to that post!) https://twitter.com/math3ma/status/1249862830670729217 …;[];[];20963651;20963651;seanjtaylor;Sean J. Taylor;2;09;https://twitter.com/seanjtaylor/status/1249891313975083009;False;137;1;21;https://twitter.com/math3ma/status/1249862830670729217;None;;;;;;;[{'user_id': '20963651', 'username': 'seanjtaylor'}];;;;
1249862830670729217;1249862830670729217;1586825494000;2020-04-14 07:51:34;SE Asia Standard Time;;My PhD thesis “At the Interface of Algebra and Statistics” is now on the arXiv!  http://arxiv.org/abs/2004.05631  It uses basic tools in quantum physics to explore mathematical structure that's both algebraic & statistical. Curious? See my new 10m video on YouTube!!  http://youtu.be/wiadG3ywJIs  pic.twitter.com/U8X622mtse;[];[];2750994354;2750994354;math3ma;Tai-Danae Bradley;2;07;https://twitter.com/math3ma/status/1249862830670729217;False;2420;61;465;;None;;;;;;;[{'user_id': '2750994354', 'username': 'math3ma'}];;;;
1249791820017459200;1249791820017459200;1586808564000;2020-04-14 03:09:24;SE Asia Standard Time;;"The highest quality Jupyter notebook I've ever seen was just posted by... <checks notes>... ex-CEO of Instagram, Kevin Systrom?

All of us data scientists can hang our heads in shame.

h/t (@seanjtaylor ) https://github.com/k-sys/covid-19/blob/master/Realtime%20R0.ipynb …";[];[];16034735;16034735;Chris_Said;Chris Said;2;03;https://twitter.com/Chris_Said/status/1249791820017459200;False;1785;22;343;;None;;;;;;;[{'user_id': '16034735', 'username': 'Chris_Said'}, {'user_id': '20963651', 'username': 'seanjtaylor'}];;;;
1249779412154843144;1249779412154843144;1586805606000;2020-04-14 02:20:06;SE Asia Standard Time;;"Now that @karpathy has everyone talking about understanding backprop again, I got inspired to finish my own weird take🤓

To understand algorithms I always imagine stepping through them. So here's how backprop might feel from the inside?

📝  https://thinc.ai/docs/backprop101 … pic.twitter.com/uJk0Bry28M";[];[];14699038;14699038;honnibal;Matthew Honnibal;2;02;https://twitter.com/honnibal/status/1249779412154843144;False;428;3;63;;None;;;;;;;[{'user_id': '14699038', 'username': 'honnibal'}, {'user_id': '33836629', 'username': 'karpathy'}];;;;
1249577951940587520;1249554183268659200;1586757574000;2020-04-13 12:59:34;SE Asia Standard Time;;"Kind of.

As far as I can tell, gganimate and geom_bezier2() don't play well together - @thomasp85, is that right?

But... you can still generate the data structure using flametree_grow() and then create your own animated plot based on geom_line()

 https://gist.github.com/djnavarro/7a3d970372631e9443c108d9e2fe905d … pic.twitter.com/HUYL5JJ3xd";[];[];108899342;108899342;djnavarro;Danielle Navarro;1;12;https://twitter.com/djnavarro/status/1249577951940587520;False;13;3;0;;None;;;;;;;[{'user_id': '108899342', 'username': 'djnavarro'}, {'user_id': '1545908220', 'username': 'froukehe'}, {'user_id': '611597719', 'username': 'thomasp85'}];;;;
1249560264095043586;1249560264095043586;1586753357000;2020-04-13 11:49:17;SE Asia Standard Time;;"Ide WFH: Ambil kelas Science+Cooking di Harvard. 
Free dan ngga kaleng kaleng gaes.

 https://online-learning.harvard.edu/course/science-and-cooking?delta=0 … pic.twitter.com/lx36Sc3Zn6";[];[];45267021;45267021;TalkinAndy;Andy Fajar Handika;1;11;https://twitter.com/TalkinAndy/status/1249560264095043586;False;304;4;72;;None;;;;;;;[{'user_id': '45267021', 'username': 'TalkinAndy'}];;;;
1249557446558920704;1249551992315195392;1586752685000;2020-04-13 11:38:05;SE Asia Standard Time;;"There's an implementation that has 10 lines of code ;-) https://www.youtube.com/watch?v=FtnkqIsfNQc …";[];[];2566842619;2566842619;michal_sustr;Michal Šustr;1;11;https://twitter.com/michal_sustr/status/1249557446558920704;False;28;0;2;;None;;;;;;;[{'user_id': '2566842619', 'username': 'michal_sustr'}, {'user_id': '33836629', 'username': 'karpathy'}];;;;
1249551992315195392;1249551992315195392;1586751385000;2020-04-13 11:16:25;SE Asia Standard Time;;ok I'm pretty sure I wrote the tiniest autograd engine with a neural net library on top of it, weighing about ~50 LOC for the engine, ~50 LOC for the neural net library, and it's super cute and totally works. MicroGrad:  https://github.com/karpathy/randomfun/blob/master/MicroGrad.ipynb … 😂;[];[];33836629;33836629;karpathy;Andrej Karpathy;1;11;https://twitter.com/karpathy/status/1249551992315195392;False;1738;27;260;;None;;;;;;;[{'user_id': '33836629', 'username': 'karpathy'}];;;;
1249543313088286720;1249543313088286720;1586749315000;2020-04-13 10:41:55;SE Asia Standard Time;;A new thing I learned, ready to share! #Markov models and their variants, particularly #autoregressive HMMs. If those terms confused you before, hopefully my explainer clears some things up. Bonus: we show it with #bayesian inference for free!  https://ericmjl.github.io/essays-on-data-science/machine-learning/markov-models/ …;['#markov', '#autoregressive', '#bayesian'];[];22042824;22042824;ericmjl;ericmjl@localhost:8888;1;10;https://twitter.com/ericmjl/status/1249543313088286720;False;220;4;54;;None;;;;;;;[{'user_id': '22042824', 'username': 'ericmjl'}];;;;
1249430024194633728;1249430024194633728;1586722305000;2020-04-13 03:11:45;SE Asia Standard Time;;There's one metric that can help us through the next few months. For your Sunday reading, here's what it is, how to calculate it, and what it looks like by US State http://systrom.com/blog/the-metric-we-need-to-manage-covid-19/ …;[];[];380;380;kevin;Kevin Systrom;1;03;https://twitter.com/kevin/status/1249430024194633728;False;2058;85;628;;None;;;;;;;[{'user_id': '380', 'username': 'kevin'}];;;;
1249337500809793538;1249337500809793538;1586700246000;2020-04-12 21:04:06;SE Asia Standard Time;;"As promised, here is the first draft of the Colab notebook that shows how to use pretrained LMs and an Elasticsearch search engine on the @elastic cloud to build a simple text similarity search application using COVID-19 scholarly articles dataset. Enjoy!

 https://colab.research.google.com/drive/1VJzTxN1QYXdc9LOjVO4DWqpV7nY4okmD#scrollTo=PwZ1zOxil56y … pic.twitter.com/tXhprIUOnw";[];[];3448284313;3448284313;omarsar0;elvis;7;21;https://twitter.com/omarsar0/status/1249337500809793538;False;262;4;63;;None;;;;;;;[{'user_id': '3448284313', 'username': 'omarsar0'}, {'user_id': '84512601', 'username': 'elastic'}];;;;
1249323091404230658;1249323091404230658;1586696810000;2020-04-12 20:06:50;SE Asia Standard Time;;The checklist manifesto and beyond  https://statmodeling.stat.columbia.edu/2020/04/12/the-checklist-manifesto-and-beyond/ …;[];[];214653213;214653213;StatModeling;Andrew Gelman;7;20;https://twitter.com/StatModeling/status/1249323091404230658;False;24;2;4;;None;;;;;;;[{'user_id': '214653213', 'username': 'StatModeling'}];;;;
1249150624027066368;1249150624027066368;1586655691000;2020-04-12 08:41:31;SE Asia Standard Time;;"Tulis surat ke Presiden kok panjang amat. Padahal semakin singkat suratnya, makin besar kemungkinan dibaca dan isinya sampai.

Saran saya: pakai panduan one-pagi memo yang diajarkan Procter & Gamble. Masih dipakai sampai sekarang. pic.twitter.com/k7kf3vzw2n";[];[];89709462;89709462;sillysampi;Paramita Mohamad;7;08;https://twitter.com/sillysampi/status/1249150624027066368;False;4746;26;979;;None;;;;;;;[{'user_id': '89709462', 'username': 'sillysampi'}];;;;
1249054452134354947;1249054452134354947;1586632762000;2020-04-12 02:19:22;SE Asia Standard Time;;Ok I’m only 14 pages into Thinking in Systems but I’m going to have to go all in on recommending on it. pic.twitter.com/INU9mfPzMr;[];[];19304217;19304217;vboykis;Vicki Boykis;7;02;https://twitter.com/vboykis/status/1249054452134354947;False;865;49;65;;None;;;;;;;[{'user_id': '19304217', 'username': 'vboykis'}];;;;
1248527862203891713;1248527862203891713;1586507213000;2020-04-10 15:26:53;SE Asia Standard Time;;Hang on to your hats, everybody - I've *finally* created a summary page for my visualizations. https://rpsychologist.com/viz ;[];[];551658707;551658707;krstoffr;Kristoffer Magnusson;5;15;https://twitter.com/krstoffr/status/1248527862203891713;False;636;11;193;;None;;;;;;;[{'user_id': '551658707', 'username': 'krstoffr'}];;;;
1248235568150052865;1248235568150052865;1586437525000;2020-04-09 20:05:25;SE Asia Standard Time;;"Y'all this is a #ggplot 🤯

Way to go @geokaramanis for #TidyTuesday !! https://twitter.com/geokaramanis/status/1247586395876741120 …";['#ggplot', '#tidytuesday'];[];1241814552;1241814552;thomas_mock;Tom Mock;4;20;https://twitter.com/thomas_mock/status/1248235568150052865;False;211;5;20;https://twitter.com/geokaramanis/status/1247586395876741120;None;;;;;;;[{'user_id': '1241814552', 'username': 'thomas_mock'}, {'user_id': '1002212251', 'username': 'geokaramanis'}];;;;
1248045953216425984;1248045953216425984;1586392317000;2020-04-09 07:31:57;SE Asia Standard Time;;Petunjuk (mungkin lebih tepat pengingat) yang bagus untuk mengedit tulisan sendiri 👇🏼. https://nyti.ms/2RAji0L ;[];[];89709462;89709462;sillysampi;Paramita Mohamad;4;07;https://twitter.com/sillysampi/status/1248045953216425984;False;731;0;135;;None;;;;;;;[{'user_id': '89709462', 'username': 'sillysampi'}];;;;
1247862505944145921;1247862505944145921;1586348580000;2020-04-08 19:23:00;SE Asia Standard Time;;"Learn #brickr:
Turn yourself (or your dog) into a LEGO mosaic in 3 lines of #rstats code. pic.twitter.com/aT0pnYFAo5";['#brickr', '#rstats'];[];128042269;128042269;ryantimpe;Ryan Timpe;3;19;https://twitter.com/ryantimpe/status/1247862505944145921;False;164;4;26;;None;;;;;;;[{'user_id': '128042269', 'username': 'ryantimpe'}];;;;
1247580475524132864;1247580475524132864;1586281338000;2020-04-08 00:42:18;SE Asia Standard Time;;Time series forecasting best practices from @Microsoft, with notebooks in #Python and R #rstats https://github.com/microsoft/forecasting …;['#python', '#rstats'];[];34677653;34677653;revodavid;David Smith;3;00;https://twitter.com/revodavid/status/1247580475524132864;False;278;4;84;;None;;;;;;;[{'user_id': '34677653', 'username': 'revodavid'}, {'user_id': '74286565', 'username': 'Microsoft'}];;;;
1247513242051674116;1247513242051674116;1586265309000;2020-04-07 20:15:09;SE Asia Standard Time;;You can develop intuition about statistical models without having to learn math. Tell me if my primer helps! The 6-part series starts here:  http://ow.ly/oKCO50z6RHi  #datascience #analytics #numbersense #models pic.twitter.com/1ZPwqIBlPY;['#datascience', '#analytics', '#numbersense', '#models'];[];111407412;111407412;junkcharts;Kaiser Fung;2;20;https://twitter.com/junkcharts/status/1247513242051674116;False;5;0;2;;None;;;;;;;[{'user_id': '111407412', 'username': 'junkcharts'}];;;;
